source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
AX-096_Human_Axiom_96.md,AX-096_Human_Axiom_96,AX-096_Human_Axiom_96,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-097_Human_Axiom_97.md,AX-097_Human_Axiom_97,AX-097_Human_Axiom_97,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-098_Human_Axiom_98.md,AX-098_Human_Axiom_98,AX-098_Human_Axiom_98,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-099_Human_Axiom_99.md,AX-099_Human_Axiom_99,AX-099_Human_Axiom_99,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-100_Human_Axiom_100.md,AX-100_Human_Axiom_100,AX-100_Human_Axiom_100,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-101_Human_Axiom_101.md,AX-101_Human_Axiom_101,AX-101_Human_Axiom_101,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-102_Human_Axiom_102.md,AX-102_Human_Axiom_102,AX-102_Human_Axiom_102,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-103_Human_Axiom_103.md,AX-103_Human_Axiom_103,AX-103_Human_Axiom_103,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-104_Human_Axiom_104.md,AX-104_Human_Axiom_104,AX-104_Human_Axiom_104,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-105_Human_Axiom_105.md,AX-105_Human_Axiom_105,AX-105_Human_Axiom_105,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-106_Human_Axiom_106.md,AX-106_Human_Axiom_106,AX-106_Human_Axiom_106,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-107_Human_Axiom_107.md,AX-107_Human_Axiom_107,AX-107_Human_Axiom_107,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-108_Human_Axiom_108.md,AX-108_Human_Axiom_108,AX-108_Human_Axiom_108,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-109_Human_Axiom_109.md,AX-109_Human_Axiom_109,AX-109_Human_Axiom_109,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-110_Human_Axiom_110.md,AX-110_Human_Axiom_110,AX-110_Human_Axiom_110,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-111_Human_Axiom_111.md,AX-111_Human_Axiom_111,AX-111_Human_Axiom_111,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-112_Human_Axiom_112.md,AX-112_Human_Axiom_112,AX-112_Human_Axiom_112,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-113_Material_Axiom_113.md,AX-113_Material_Axiom_113,AX-113_Material_Axiom_113,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-114_Material_Axiom_114.md,AX-114_Material_Axiom_114,AX-114_Material_Axiom_114,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
